worker_id,paid,task_name,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,document_id,document_index,reliability_value,reliability_label,reliability_index,reliability_description,neutrality_value,neutrality_label,neutrality_index,neutrality_description,comprehensibility_value,comprehensibility_label,comprehensibility_index,comprehensibility_description,precision_value,precision_label,precision_index,precision_description,completeness_value,completeness_label,completeness_index,completeness_description,informativeness_value,informativeness_label,informativeness_index,informativeness_description,confidence_value,confidence_justification,time_start,time_end,time_elapsed,time_start_parsed,time_end_parsed,accesses,global_outcome,global_form_validity,gold_checks,time_spent_check
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,1,Next,"Tue, 16 Jan 2024 16:19:55 GMT",2024-01-16 16:19:55 00:00,Pair_AJQYAX6Y56ZFW-B019XWENGM,0,1,partially-agree,3.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,0,neutral,2.0,,0,neutral,2.0,,75.0,"The review is concise and seems objective, it lacks some aspects, such as speed and noise.",1705421637.63,1705421995.46,357.82,2024-01-16 16:13:57,2024-01-16 16:19:55,1,True,True,True,True
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,1,Next,"Tue, 16 Jan 2024 16:25:11 GMT",2024-01-16 16:25:11 00:00,Pair_AR6PRH6B8N7LP-B006UKI83U,1,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,0,neutral,2.0,,0,neutral,2.0,,0,neutral,2.0,,75.0,"The review looks objective and not biased, but it's not very comprehensive.",1705421995.46,1705422311.1,315.64,2024-01-16 16:19:55,2024-01-16 16:25:11,1,True,True,True,True
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,1,Next,"Tue, 16 Jan 2024 16:37:01 GMT",2024-01-16 16:37:01 00:00,Pair_AVJC3PLM2VHRI-B01D9JG0VQ,2,2,completely-agree,4.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,75.0,"The report, although very positive, gave me the idea of being honest and impartial, and also goes into detail.",1705422311.1,1705423021.84,710.75,2024-01-16 16:25:11,2024-01-16 16:37:01,1,True,True,True,True
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,1,Next,"Tue, 16 Jan 2024 16:48:15 GMT",2024-01-16 16:48:15 00:00,Pair_A1BCTPXWBGVOM3-B01FYFJ1CS,3,-1,partially-disagree,1.0,...,0,neutral,2.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,0,neutral,2.0,,55.0,"The degree of confidence is relatively low because it talks about a product that I don't know well, furthermore it seems that the user's capabilities, or presumed capabilities, have influenced his/hers evaluation.",1705423021.84,1705423695.96,674.11,2024-01-16 16:37:01,2024-01-16 16:48:15,1,True,True,True,True
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,1,Finish,"Tue, 16 Jan 2024 16:52:28 GMT",2024-01-16 16:52:28 00:00,Pair_ARQT4BAVJQOF5-B000FPAN2K,4,-1,partially-disagree,1.0,...,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,-1,partially-disagree,1.0,...,-1,partially-disagree,1.0,...,74.0,I'm pretty sure of my low ratings because the review talks more about the shipping than the product.,1705423695.96,1705423946.55,250.59,2024-01-16 16:48:15,2024-01-16 16:52:26,1,True,True,True,True
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,1,Next,"Tue, 16 Jan 2024 17:11:08 GMT",2024-01-16 17:11:08 00:00,Pair_AR6PRH6B8N7LP-B006UKI83U,0,0,neutral,2.0,,1,partially-agree,3.0,,0,neutral,2.0,,0,neutral,2.0,,1,partially-agree,3.0,,0,neutral,2.0,,80.0,"Recensione abbastanza neutra che tende leggermente ad influenzare l'acquisto ma c'è la possibilità che una buona fetta di persone non sia convinta,",1705424906.0,1705425068.64,162.64,2024-01-16 17:08:26,2024-01-16 17:11:08,1,True,True,True,True
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,1,Next,"Tue, 16 Jan 2024 17:12:45 GMT",2024-01-16 17:12:45 00:00,Pair_AVJC3PLM2VHRI-B01D9JG0VQ,1,0,neutral,2.0,,0,neutral,2.0,,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,1,partially-agree,3.0,,70.0,La recensione è piena di dettagli che tendono a distogliere l'attenzione dell'utente dalla funzionalità dell'oggetto in se.,1705425068.64,1705425165.28,96.65,2024-01-16 17:11:08,2024-01-16 17:12:45,1,True,True,True,True
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,1,Next,"Tue, 16 Jan 2024 17:14:28 GMT",2024-01-16 17:14:28 00:00,Pair_A1BCTPXWBGVOM3-B01FYFJ1CS,2,0,neutral,2.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,0,neutral,2.0,,0,neutral,2.0,,40.0,L'autore sembra molto convinto dell'acquisto e invoglia a comprare l'oggetto. La recensione è molto lunga e tende a mettere troppi dettagli.,1705425165.28,1705425268.48,103.2,2024-01-16 17:12:45,2024-01-16 17:14:28,1,True,True,True,True
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,1,Next,"Tue, 16 Jan 2024 17:16:19 GMT",2024-01-16 17:16:19 00:00,Pair_ARQT4BAVJQOF5-B000FPAN2K,3,0,neutral,2.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,75.0,La recensione è ben scritta e descrive ampiamente il problema con i vettori di spedizione. Purtroppo si è verificata una perdita che è andata ad influire sulla recensione del prodotto,1705425268.48,1705425379.09,110.6,2024-01-16 17:14:28,2024-01-16 17:16:19,1,True,True,True,True
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,1,Finish,"Tue, 16 Jan 2024 17:17:55 GMT",2024-01-16 17:17:55 00:00,Pair_AP4CTAPYQ0G38-B00IQCHQPQ,4,0,neutral,2.0,,0,neutral,2.0,,0,neutral,2.0,,0,neutral,2.0,,0,neutral,2.0,,0,neutral,2.0,,50.0,"La recensione è molto ridotta all'osso, non viene descritta ampiamente la funzionalità del prodotto, l'autore si limita a dire lo stretto necessario per una recensione",1705425379.09,1705425474.63,95.54,2024-01-16 17:16:19,2024-01-16 17:17:54,1,True,True,True,True
