worker_id,paid,task_name,batch_name,unit_id,try_current,action,time_submit,time_submit_parsed,questionnaire_index,questionnaire_position,questionnaire_allow_back,questionnaire_type,questionnaire_time_elapsed,questionnaire_accesses,question_attribute_dropped,question_attribute_index,question_attribute_indexFull,question_attribute_name,question_attribute_type,question_attribute_nameFull,question_attribute_text,question_attribute_required,question_answers_values,question_answers_labels,question_answer_value,question_answer_text
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,Next,"Tue, 16 Jan 2024 16:09:47 GMT",2024-01-16 16:09:47 00:00,0.0,start,False,standard,85.33,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,26-35
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,Next,"Tue, 16 Jan 2024 16:09:47 GMT",2024-01-16 16:09:47 00:00,0.0,start,False,standard,85.33,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,Next,"Tue, 16 Jan 2024 16:09:47 GMT",2024-01-16 16:09:47 00:00,0.0,start,False,standard,85.33,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,Next,"Tue, 16 Jan 2024 16:09:47 GMT",2024-01-16 16:09:47 00:00,0.0,start,False,standard,85.33,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,medium
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,Next,"Tue, 16 Jan 2024 16:09:47 GMT",2024-01-16 16:09:47 00:00,0.0,start,False,standard,85.33,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,rarely
A11Y63SZ5XIO13,True,ProgettoSocial,socialcomputing,unit_13,1,Next,"Tue, 16 Jan 2024 16:13:57 GMT",2024-01-16 16:13:57 00:00,1.0,start,False,crt,250.3,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,Next,"Tue, 16 Jan 2024 15:44:02 GMT",2024-01-16 15:44:02 00:00,0.0,start,False,standard,25.33,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,Next,"Tue, 16 Jan 2024 15:44:02 GMT",2024-01-16 15:44:02 00:00,0.0,start,False,standard,25.33,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,Next,"Tue, 16 Jan 2024 15:44:02 GMT",2024-01-16 15:44:02 00:00,0.0,start,False,standard,25.33,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,Next,"Tue, 16 Jan 2024 15:44:02 GMT",2024-01-16 15:44:02 00:00,0.0,start,False,standard,25.33,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,Next,"Tue, 16 Jan 2024 15:44:02 GMT",2024-01-16 15:44:02 00:00,0.0,start,False,standard,25.33,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,rarely
A12BAB3WKXPE18,True,ProgettoSocial,socialcomputing,unit_12,1,Next,"Tue, 16 Jan 2024 15:44:51 GMT",2024-01-16 15:44:51 00:00,1.0,start,False,crt,49.37,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,Next,"Tue, 16 Jan 2024 15:07:26 GMT",2024-01-16 15:07:26 00:00,0.0,start,False,standard,19.38,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,Next,"Tue, 16 Jan 2024 15:07:26 GMT",2024-01-16 15:07:26 00:00,0.0,start,False,standard,19.38,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,Next,"Tue, 16 Jan 2024 15:07:26 GMT",2024-01-16 15:07:26 00:00,0.0,start,False,standard,19.38,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,Next,"Tue, 16 Jan 2024 15:07:26 GMT",2024-01-16 15:07:26 00:00,0.0,start,False,standard,19.38,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,Next,"Tue, 16 Jan 2024 15:07:26 GMT",2024-01-16 15:07:26 00:00,0.0,start,False,standard,19.38,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,Next,"Tue, 16 Jan 2024 15:11:11 GMT",2024-01-16 15:11:11 00:00,1.0,start,False,crt,225.17,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,Next,"Mon, 15 Jan 2024 14:39:42 GMT",2024-01-15 14:39:42 00:00,0.0,start,False,standard,23.29,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,Next,"Mon, 15 Jan 2024 14:39:42 GMT",2024-01-15 14:39:42 00:00,0.0,start,False,standard,23.29,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,Next,"Mon, 15 Jan 2024 14:39:42 GMT",2024-01-15 14:39:42 00:00,0.0,start,False,standard,23.29,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,Next,"Mon, 15 Jan 2024 14:39:42 GMT",2024-01-15 14:39:42 00:00,0.0,start,False,standard,23.29,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,Next,"Mon, 15 Jan 2024 14:39:42 GMT",2024-01-15 14:39:42 00:00,0.0,start,False,standard,23.29,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,Next,"Mon, 15 Jan 2024 14:40:09 GMT",2024-01-15 14:40:09 00:00,1.0,start,False,crt,26.95,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,Next,"Mon, 15 Jan 2024 15:49:11 GMT",2024-01-15 15:49:11 00:00,0.0,start,False,standard,231.9,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
